# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-07-12 00:12:26; hka-aqm-am204;  24.02;  75.06;   389;  1893;     4;     0;     1;     0;   -43;   -43;   9.0; drag-lps8-01; 1; 7; 125000; 1335
2023-07-12 00:27:33; hka-aqm-am204;  24.01;  75.32;   385;  2007;     4;     0;     3;     5;   -45;   -45;   9.5; drag-lps8-01; 0; 7; 125000; 1336
2023-07-12 00:42:39; hka-aqm-am204;  24.01;  75.24;   394;  2140;     5;     1;     3;     5;   -45;   -45;   9.0; drag-lps8-01; 7; 7; 125000; 1337
2023-07-12 00:57:45; hka-aqm-am204;  23.99;  75.12;   393;  2146;     4;     0;     1;     0;   -43;   -43;   6.5; drag-lps8-01; 2; 7; 125000; 1338
2023-07-12 01:12:53; hka-aqm-am204;  23.97;  75.21;   393;  2351;     5;     1;     3;     5;   -42;   -42;   8.5; drag-lps8-01; 1; 7; 125000; 1339
2023-07-12 01:27:59; hka-aqm-am204;  23.97;  75.41;   391;  2094;     4;     0;     3;     5;   -43;   -43;   8.5; drag-lps8-01; 6; 7; 125000; 1340
2023-07-12 01:43:14; hka-aqm-am204;  23.96;  75.06;   389;  1982;     5;     1;     3;     5;   -45;   -45;   7.5; drag-lps8-01; 5; 7; 125000; 1342
2023-07-12 01:58:20; hka-aqm-am204;  23.93;  75.00;   396;  2119;     4;     0;     3;     5;   -46;   -46;   8.5; drag-lps8-01; 0; 7; 125000; 1343
2023-07-12 02:13:34; hka-aqm-am204;  23.94;  75.06;   403;  2241;     4;     0;     3;     5;   -45;   -45;   9.2; drag-lps8-01; 4; 7; 125000; 1345
2023-07-12 02:28:40; hka-aqm-am204;  23.92;  74.83;   410;  2365;     4;     0;     3;     5;  -124;  -124;  -6.5; drag-lps8-08; 2; 7; 125000; 1346
2023-07-12 02:43:46; hka-aqm-am204;  23.92;  74.86;   416;  2374;     5;     0;     0;     0;  -127;  -127;  -7.8; drag-lps8-08; 1; 7; 125000; 1347
2023-07-12 02:58:54; hka-aqm-am204;  23.91;  74.83;   415;  2491;     4;     0;     3;     5;   -45;   -45;  10.2; drag-lps8-01; 4; 7; 125000; 1348
2023-07-12 03:14:00; hka-aqm-am204;  23.91;  74.50;   413;  2434;     5;     0;     3;     5;   -47;   -47;   8.8; drag-lps8-01; 3; 7; 125000; 1349
2023-07-12 03:29:06; hka-aqm-am204;  23.87;  74.30;   423;  2513;     4;     0;     1;     0;   -45;   -45;  10.2; drag-lps8-01; 6; 7; 125000; 1350
2023-07-12 03:44:15; hka-aqm-am204;  23.88;  73.83;   422;  2424;     4;     0;     3;     5;  -126;  -126;  -7.5; drag-lps8-08; 7; 7; 125000; 1351
2023-07-12 03:59:21; hka-aqm-am204;  23.87;  73.24;   410;  2341;     5;     1;     3;     5;   -45;   -45;   7.2; drag-lps8-01; 5; 7; 125000; 1352
2023-07-12 04:14:27; hka-aqm-am204;  23.86;  73.04;   419;  2367;     4;     0;     0;     0;   -45;   -45;   9.0; drag-lps8-01; 0; 7; 125000; 1353
