# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-03-03 00:13:47; hka-aqm-am109;  15.70;  33.32;   424;   585;     4;     1;     0;     0;   -78;   -78;   9.5; drag-lps8-05; 6; 7; 125000; 3546
2023-03-03 00:28:54; hka-aqm-am109;  15.68;  33.39;   425;   572;     4;     1;     4;     0;   -77;   -77;  10.5; drag-lps8-05; 1; 7; 125000; 3547
2023-03-03 00:44:01; hka-aqm-am109;  15.66;  33.39;   423;   570;     4;     0;     4;     0;   -76;   -76;   7.2; drag-lps8-05; 5; 7; 125000; 3548
2023-03-03 00:59:07; hka-aqm-am109;  15.65;  33.42;   429;   570;     4;     1;     1;     0;  -110;  -110;   5.5; drag-lps8-03; 4; 7; 125000; 3549
2023-03-03 01:14:13; hka-aqm-am109;  15.62;  33.52;   428;   568;     4;     1;     4;     0;  -115;  -115;   1.2; drag-lps8-03; 2; 7; 125000; 3550
2023-03-03 01:29:20; hka-aqm-am109;  15.62;  33.52;   424;   559;     4;     0;     4;     0;  -117;  -117;  -0.2; drag-lps8-03; 0; 7; 125000; 3551
2023-03-03 01:44:26; hka-aqm-am109;  15.60;  33.59;   426;   561;     4;     0;     3;     0;   -78;   -78;   9.2; drag-lps8-05; 7; 7; 125000; 3552
2023-03-03 01:59:35; hka-aqm-am109;  15.59;  33.62;   425;   539;     4;     1;     4;     0;   -77;   -77;   9.0; drag-lps8-05; 3; 7; 125000; 3553
2023-03-03 02:14:41; hka-aqm-am109;  15.58;  33.69;   426;   513;     4;     0;     4;     0;   -77;   -77;   9.2; drag-lps8-05; 7; 7; 125000; 3554
2023-03-03 02:29:47; hka-aqm-am109;  15.56;  33.72;   424;   552;     4;     0;     2;     0;   -76;   -76;   8.5; drag-lps8-05; 4; 7; 125000; 3555
2023-03-03 02:44:55; hka-aqm-am109;  15.52;  33.72;   424;   534;     4;     0;     4;     0;   -75;   -75;   8.8; drag-lps8-05; 1; 7; 125000; 3556
2023-03-03 03:00:01; hka-aqm-am109;  15.51;  33.79;   424;   522;     6;     2;     4;     0;  -119;  -119;   0.5; drag-lps8-03; 0; 7; 125000; 3557
2023-03-03 03:15:07; hka-aqm-am109;  15.48;  33.86;   428;   498;     4;     1;     2;     0;  -114;  -114;   2.5; drag-lps8-03; 6; 7; 125000; 3558
2023-03-03 03:30:13; hka-aqm-am109;  15.46;  33.89;   425;   516;     4;     0;     4;     0;  -110;  -110;   4.2; drag-lps8-03; 5; 7; 125000; 3559
2023-03-03 03:45:20; hka-aqm-am109;  15.46;  33.89;   427;   531;     4;     0;     4;     0;   -79;   -79;  10.5; drag-lps8-05; 3; 7; 125000; 3560
2023-03-03 04:00:26; hka-aqm-am109;  15.43;  33.92;   429;   508;     4;     1;     2;     0;   -75;   -75;   7.5; drag-lps8-05; 2; 7; 125000; 3561
2023-03-03 04:15:35; hka-aqm-am109;  15.41;  33.99;   430;   511;     6;     2;     5;     0;   -78;   -78;  10.0; drag-lps8-05; 6; 7; 125000; 3562
2023-03-03 04:30:41; hka-aqm-am109;  15.39;  33.96;   428;   507;     4;     0;     5;     0;  -111;  -111;   4.5; drag-lps8-03; 5; 7; 125000; 3563
2023-03-03 04:45:47; hka-aqm-am109;  15.39;  33.99;   434;   499;     6;     2;     1;     0;  -109;  -109;   7.0; drag-lps8-03; 4; 7; 125000; 3564
2023-03-03 05:00:54; hka-aqm-am109;  15.36;  33.99;   430;   504;     6;     2;     5;     0;  -109;  -109;   5.8; drag-lps8-03; 3; 7; 125000; 3565
2023-03-03 05:16:00; hka-aqm-am109;  15.34;  33.99;   424;   504;     4;     0;     5;     0;   -76;   -76;   8.8; drag-lps8-05; 1; 7; 125000; 3566
2023-03-03 05:31:07; hka-aqm-am109;  15.32;  33.99;   430;   505;     4;     0;     2;     0;   -77;   -77;   7.5; drag-lps8-05; 2; 7; 125000; 3567
2023-03-03 05:46:14; hka-aqm-am109;  15.31;  34.02;   427;   504;     4;     0;     5;     0;   -79;   -79;   9.5; drag-lps8-05; 7; 7; 125000; 3568
2023-03-03 06:01:20; hka-aqm-am109;  15.28;  34.06;   431;   483;     4;     0;     5;     0;  -119;  -119;   1.5; drag-lps8-03; 0; 7; 125000; 3569
2023-03-03 06:16:26; hka-aqm-am109;  15.28;  34.12;   430;   504;     4;     1;     0;     0;  -113;  -113;   4.2; drag-lps8-03; 5; 7; 125000; 3570
2023-03-03 06:31:35; hka-aqm-am109;  15.26;  34.12;   432;   495;     5;     0;     5;     0;  -117;  -117;   1.5; drag-lps8-03; 7; 7; 125000; 3571
2023-03-03 06:46:41; hka-aqm-am109;  15.24;  34.16;   437;   513;    10;     3;     5;     0;  -111;  -111;   5.5; drag-lps8-03; 3; 7; 125000; 3572
2023-03-03 07:01:47; hka-aqm-am109;  15.22;  34.19;   427;   501;    25;     6;     2;     0;   -78;   -78;   9.0; drag-lps8-05; 0; 7; 125000; 3573
